"filename", "language", "JSON", "TypeScript", "TypeScript React", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Avet\Sources\tourtool-client\src\utils\arrayUtils.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 7, 68
"c:\Users\Avet\Sources\tourtool-client\src\utils\asyncWrapper.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 2, 20
"c:\Users\Avet\Sources\tourtool-client\src\utils\authUtils.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Avet\Sources\tourtool-client\src\utils\constants.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Avet\Sources\tourtool-client\src\utils\error.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Avet\Sources\tourtool-client\src\utils\i18n.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Avet\Sources\tourtool-client\src\utils\localization.ts", "TypeScript", 0, 582, 0, 0, 0, 0, 0, 1, 583
"c:\Users\Avet\Sources\tourtool-client\src\utils\numberUtils.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Avet\Sources\tourtool-client\src\utils\scoreUtils.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Avet\Sources\tourtool-client\src\utils\stringUtils.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Avet\Sources\tourtool-client\src\utils\styleUtils.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Avet\Sources\tourtool-client\tsconfig.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 16370, 4657, 5897, 41, 112, 21, 280, 961, 28339
